Func Name	Time(s)	Package Energy(J)	PP0 Energy(J)	% Time	% Package Energy	% PP0 Energy	Package Power(w)	PP0 Power(w)	# Calls	Time Avg	Time Stddev	Package Energy Avg	PP0 Energy Avg	Package Energy Stddev	PP0 Energy Stddev
int miniFE::find_row_for_id<int>(int, std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > > const&)	1.23105	26.7948	22.7522	41.729	42.4978	42.6367	21.7659	18.482	1231	0.00100004	2.30545e-08	0.0217667	0.0184827	0.00325571	0.00271732
void miniFE::Hex8::gradients_and_invJ_and_detJ<double>(double const*, double const*, double*, double&)	0.418025	9.02321	7.65688	14.1699	14.3112	14.3487	21.5853	18.3168	418	0.00100006	3.45874e-08	0.0215866	0.0183179	0.00188642	0.00160138
void miniFE::impose_dirichlet<miniFE::CSRMatrix<double, int, int>, miniFE::Vector<double, int, int> >(miniFE::CSRMatrix<double, int, int>::ScalarType, miniFE::CSRMatrix<double, int, int>&, miniFE::Vector<double, int, int>&, int, int, int, std::set<miniFE::CSRMatrix<double, int, int>::GlobalOrdinalType, std::less<miniFE::CSRMatrix<double, int, int>::GlobalOrdinalType>, std::allocator<miniFE::CSRMatrix<double, int, int>::GlobalOrdinalType> > const&)	0.37151	7.41656	6.16359	12.5931	11.763	11.5503	19.9633	16.5906	2	0.185755	0.010186	3.70828	3.08179	0.208649	0.172523
void miniFE::sum_in_symm_elem_matrix<miniFE::CSRMatrix<double, int, int> >(unsigned long, miniFE::CSRMatrix<double, int, int>::GlobalOrdinalType const*, miniFE::CSRMatrix<double, int, int>::ScalarType const*, miniFE::CSRMatrix<double, int, int>&)	0.265091	5.75497	4.88367	8.9858	9.12766	9.15179	21.7095	18.4226	265	0.00100034	1.86378e-07	0.0217169	0.0184289	0.00358545	0.0030432
miniFE::mytimer()	0.264013	5.77498	4.88275	8.94928	9.15939	9.15008	21.8738	18.4944	264	0.00100005	2.8129e-08	0.0218749	0.0184953	0.00440688	0.00357307
void miniFE::Hex8::sourceVector<double>(double const*, double const*, double*)	0.150031	3.21748	2.73048	5.08562	5.10308	5.11682	21.4455	18.1995	150	0.00100021	1.23815e-07	0.0214499	0.0182032	0.00252877	0.00300963
void miniFE::Hex8::diffusionMatrix_symm<double>(double const*, double const*, double*)	0.0860087	1.8465	1.5667	2.91544	2.92863	2.93592	21.4687	18.2156	86	0.0010001	5.10718e-08	0.0214709	0.0182174	0.00236622	0.00200847
void miniFE::get_elem_nodes_and_coords<int, double>(miniFE::simple_mesh_description<int> const&, int, int*, double*)	0.0570037	1.24451	1.05623	1.93226	1.97385	1.97933	21.832	18.5291	57	0.00100006	3.52446e-08	0.0218335	0.0185303	0.00409985	0.00347699
MatrixInitOp<miniFE::CSRMatrix<double, int, int> >::operator()(int)	0.0480027	1.01721	0.863007	1.62715	1.61335	1.61724	21.1907	17.9783	48	0.00100006	3.46416e-08	0.0211919	0.0179793	0.00540454	0.00458594
std::vector<double, std::allocator<double> >::_M_fill_insert(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)	0.0205993	0.427139	0.358444	0.698257	0.677463	0.67171	20.7356	17.4008	1	0.0205993	0	0.427139	0.358444	0	0
_GLOBAL__sub_I__ZN6miniFE11is_neighborERK3BoxS2_	0.0131125	0	0	0.444476	0	0	0	0	1	0.0131125	0	0	0	0	0
std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&)	0.0122254	0.255569	0.214813	0.414406	0.405345	0.402551	20.9048	17.571	2	0.00611271	0.00501045	0.127785	0.107407	0.107002	0.0898285
std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_unique(int const&)	0.00900076	0.191757	0.162613	0.3051	0.304136	0.30473	21.3046	18.0666	9	0.00100008	6.47293e-08	0.0213064	0.0180681	0.000461254	0.000405911
std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase(std::_Rb_tree_node<int>*)	0.00300006	0.0643158	0.0540466	0.101693	0.102008	0.101281	21.4381	18.0152	3	0.00100002	1.56276e-08	0.0214386	0.0180155	0.000579433	0.000541968
void miniFE::get_ids<int>(int, int, int, Box const&, std::vector<int, std::allocator<int> >&, bool)	0.00143336	0.020813	0.0175323	0.0485869	0.0330104	0.0328549	14.5204	12.2316	1	0.00143336	0	0.020813	0.0175323	0	0
