----------------------------------------																											
----       Per-function profile     ----																											
----------------------------------------																											
				Core 0						Core 1						Core 2						Core 3					
Func Name	Total Energy(j)	Total Time(s)	Total Energy Efficiency(inst/joule)	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency	Energy(j)	Time(s)	Energy Efficiency(inst/joule)	% of Total Function Energy	%of Total Function Time	% difference in Energy Efficiency
atomic_fetch_add<double> at Kokkos_Atomic_Fetch_Add.hpp	92.1553	7.8	297477000	22.6045	1.937	294608000	24.5288	24.8333	0.968878	22.8546	1.935	301730000	24.8001	24.8077	1.41966	23.4345	1.984	293524000	25.4294	25.4359	1.33746	23.2616	1.944	300067000	25.2417	24.9231	0.866859
compute_halfneigh_threadedItem<0, 1> at force_lj.cpp	28.2799	2.381	294374000	7.27076	0.611	289298000	25.71	25.6615	1.73918	7.25476	0.613	296465000	25.6534	25.7455	0.707935	6.80314	0.574	293168000	24.0565	24.1075	0.410572	6.95123	0.583	298680000	24.5801	24.4855	1.45234
operator()<int, int> at Kokkos_View.hpp	13.4488	1.134	303612000	3.57592	0.293	295462000	26.5892	25.8377	2.72087	3.41967	0.294	305057000	25.4274	25.9259	0.474772	3.2998	0.276	302688000	24.5361	24.3386	0.304999	3.15336	0.271	312255000	23.4472	23.8977	2.8067
Neighbor::build_Item(int const&) const at neighbor.cpp	12.7005	0.881	518185000	3.1696	0.221	508790000	24.9566	25.0851	1.82953	3.1736	0.221	527383000	24.988	25.0851	1.7595	3.18414	0.221	510054000	25.071	25.0851	1.58143	3.17314	0.218	526528000	24.9844	24.7446	1.59716
?? at ??	2.72077	0.244	214458000	1.03999	0.056	167748000	38.2239	22.9508	24.4425	0.239762	0.039	262551000	8.81226	15.9836	20.1645	0.679225	0.051	231698000	24.9644	20.9016	7.72832	0.7618	0.098	247717000	27.9994	40.1639	14.3926
compute_halfneigh_threadedItem<1, 1> at force_lj.cpp	1.23118	0.103	285792000	0.303075	0.026	291244000	24.6167	25.2427	1.8896	0.301393	0.026	296061000	24.48	25.2427	3.52959	0.321712	0.026	276706000	26.1304	25.2427	3.2309	0.304999	0.025	279813000	24.7729	24.2718	2.11447
Integrate::initialIntegrateItem(int const&) const at integrate.cpp	1.1659	0.103	263888000	0.344843	0.026	262520000	29.5773	25.2427	0.519926	0.254249	0.026	258884000	21.8071	25.2427	1.91447	0.332906	0.026	269368000	28.5535	25.2427	2.05523	0.233905	0.025	263546000	20.0622	24.2718	0.129791
Integrate::finalIntegrateItem(int const&) const at integrate.cpp	0.616391	0.058	217527000	0.198385	0.012	211383000	32.1849	20.6897	2.86526	0.0789612	0.013	215405000	12.8102	22.4138	0.980328	0.230102	0.016	222295000	37.3306	27.5862	2.16792	0.108943	0.017	220185000	17.6743	29.3103	1.21448
ViewAssignment<int const*, Kokkos::OpenMP, Kokkos::MemoryTraits<1u>, void, int**, Kokkos::LayoutRight, Kokkos::OpenMP, void> at Kokkos_ViewDefault.hpp	0.334596	0.026	610841000	0.0869435	0.007	604649000	25.9846	26.9231	1.01893	0.0936602	0.007	604593000	27.992	26.9231	1.02819	0.0735775	0.006	617746000	21.99	23.0769	1.12402	0.0804147	0.006	618497000	24.0334	23.0769	1.24543
ForceZeroFunctor::operator()(int) const at force.h	0.326999	0.028	285715000	0.0689959	0.006	288539000	21.0998	21.4286	0.983488	0.0699754	0.007	301142000	21.3993	25	5.25742	0.105052	0.007	264694000	32.1263	25	7.63856	0.0829748	0.008	296972000	25.3747	28.5714	3.86382
random at setup.cpp	0.322985	0.027	223100000	0.199895	0.01	209021000	61.8898	37.037	6.51614	0.079699	0.01	232565000	24.6757	37.037	4.15464	0.0433915	0.007	270572000	13.4345	25.9259	19.2322	0	0	0	0	0	0
Kokkos::Impl::ViewInit<Kokkos::View<int**, Kokkos::OpenMP, void, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.295768	0.016	562611000	0.068587	0.005	618442000	23.1894	31.25	9.4544	0.0908624	0.005	605791000	30.7208	31.25	7.39125	0.0680428	0.003	497562000	23.0055	18.75	12.2714	0.0682758	0.003	513889000	23.0842	18.75	9.05201
operator[]<int> at Kokkos_View.hpp	0.268243	0.023	508482000	0.0804224	0.006	444629000	29.9812	26.087	13.3988	0.0612757	0.006	532411000	22.8433	26.087	4.59774	0.0727473	0.006	487359000	27.1199	26.087	4.24211	0.0537978	0.005	605243000	20.0556	21.7391	17.3761
DeepCopyFunctor<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2>::operator()(int) const at types.h	0.259094	0.02	222006000	0.0598301	0.005	237583000	23.092	25	6.77877	0.0686901	0.005	217493000	26.5116	25	2.05349	0.0648891	0.005	214910000	25.0446	25	3.24814	0.065685	0.005	219546000	25.3518	25	1.11421
Kokkos::Impl::ParallelFor<ForceZeroFunctor, unsigned long, Kokkos::OpenMP>::ParallelFor(ForceZeroFunctor const&, unsigned long) at Kokkos_OpenMP_Parallel.hpp	0.242479	0.019	274630000	0.0697307	0.006	285140000	28.7574	31.5789	3.75511	0.0667895	0.005	272509000	27.5444	26.3158	0.775187	0.071841	0.005	288936000	29.6277	26.3158	5.07708	0.034118	0.003	227176000	14.0705	15.7895	18.913
Atom::unpack_reverseItem(int const&) const at atom.cpp	0.21536	0.02	185160000	0.0861622	0.004	166388000	40.0085	20	10.6796	0.00903493	0.004	179816000	4.19528	20	2.92831	0.0979263	0.006	195094000	45.4711	30	5.22504	0.0222363	0.006	216320000	10.3252	30	15.5227
Neighbor::binatomsItem(int const&) const at neighbor.cpp	0.177545	0.011	313347000	0.020822	0.002	309039000	11.7277	18.1818	1.3843	0.0239176	0.002	307284000	13.4713	18.1818	1.95365	0.028203	0.003	345447000	15.885	27.2727	9.74507	0.104602	0.004	306935000	58.916	36.3636	2.06716
Kokkos::Impl::ViewInit<Kokkos::View<double* [3], Kokkos::LayoutRight, Kokkos::OpenMP, void, Kokkos::Impl::LayoutDefault>, 2u>::operator()(unsigned long) const at Kokkos_ViewSupport.hpp	0.148193	0.016	315819000	0.0637391	0.004	232616000	43.0108	25	30.3419	0.0203604	0.004	369698000	13.7391	25	15.7192	0.0193594	0.004	372886000	13.0636	25	16.5721	0.0447345	0.004	385151000	30.1866	25	19.7816
